Name,Weight,Shield Type,DLC?,Used
Buckler,3,Small Shield,⛔️,
Coil Shield,3,Small Shield,⛔️,
Iron Roundshield,3,Small Shield,⛔️,
Leather Shield,3,Small Shield,⛔️,
Riveted Wooden Shield,3,Small Shield,⛔️,
Rickety Shield,3,Small Shield,⛔️,
Blue-White Wooden Shield,3,Small Shield,⛔️,
Gilded Iron Shield,3,Small Shield,⛔️,
Man-Serpent's Shield,3,Small Shield,⛔️,
Ice Crest Shield,3,Small Shield,⛔️,
Twinbird Kite Shield,3,Small Shield,⛔️,
Rift Shield,3,Small Shield,⛔️,
Shield of Night,3,Small Shield,✅,
Kite Shield,3,Medium Shield,⛔️,
Round Shield,3,Medium Shield,⛔️,
Golden Beast Crest Shield,3,Medium Shield,⛔️,
Blue Crest Heater Shield,3,Medium Shield,⛔️,
Red Thorn Roundshield,3,Medium Shield,⛔️,
Silver Mirrorshield,3,Medium Shield,⛔️,
Brass Shield,3,Medium Shield,⛔️,
Carian Knight's Shield,3,Medium Shield,⛔️,
Great Turtle Shell,3,Medium Shield,⛔️,
Fingerprint Stone Shield,3,Medium Shield,⛔️,
Dragon Crest Shield,3,Medium Shield,⛔️,
Dueling Shield,3,Medium Shield,✅,
Messmer Soldier Shield,3,Medium Shield,✅,
Golden Lion Shield,3,Medium Shield,✅,
Erdtree Greatshield,3,Greatshield,⛔️,
Fingerprint Negation Shield,3,Greatshield,⛔️,
Golden Greatshield,3,Greatshield,⛔️,
Jellyfish Shield,3,Greatshield,⛔️,
Dragonclaw Shield,3,Greatshield,⛔️,
Haligtree Crest Greatshield,3,Greatshield,⛔️,
Icon Shield,3,Greatshield,⛔️,
Blue Elephant Shield,3,Greatshield,⛔️,
One-Eyed Shield,3,Greatshield,⛔️,
Manor Towershield,3,Greatshield,⛔️,
Dragon Towershield,3,Greatshield,⛔️,
Verdigris Greatshield,3,Greatshield,✅,
