Name,Weight,Weapon Type,DLC?,Used
Battle Axe,3,Axe,⛔️,A little bit
Celebrant's Cleaver,5,Axe,⛔️,"Not really, no"
Death Knight's Twin Axes,5,Axe,✅,"Not really, no"
Forked Hatchet,5,Axe,⛔️,"Not really, no"
Forked-Tongue Hatchet,5,Axe,✅,"Not really, no"
Hand Axe,5,Axe,⛔️,"Not really, no"
Highland Axe,2,Axe,⛔️,Some
Icerind Hatchet,3,Axe,⛔️,A little bit
Iron Cleaver,2,Axe,⛔️,Some
Jawbone Axe,5,Axe,⛔️,"Not really, no"
Messmer Soldier's Axe,5,Axe,✅,"Not really, no"
Ripple Blade,5,Axe,⛔️,"Not really, no"
Rosus' Axe,5,Axe,⛔️,"Not really, no"
Sacrificial Axe,5,Axe,⛔️,"Not really, no"
Smithscript Axe,5,Axe,✅,"Not really, no"
Stormhawk Axe,3,Axe,⛔️,A little bit
Warped Axe,2,Axe,⛔️,Some
Backhand Blade,5,Backhand Blade,✅,"Not really, no"
Curseblade's Cirque,5,Backhand Blade,✅,"Not really, no"
Smithscript Cirque,5,Backhand Blade,✅,"Not really, no"
Hand Ballista,5,Ballista,⛔️,"Not really, no"
Jar Cannon,5,Ballista,⛔️,"Not really, no"
Rabbath's Cannon,5,Ballista,✅,"Not really, no"
Beast Claw,5,Beast Claw,✅,"Not really, no"
Claws of Night,5,Beast Claw,✅,"Not really, no"
Red Bear's Claw,5,Beast Claw,✅,"Not really, no"
Albinauric Bow,5,Bow,⛔️,"Not really, no"
Ansbach's Longbow,5,Bow,✅,"Not really, no"
Black Bow,2,Bow,⛔️,Some
Erdtree Bow,2,Bow,⛔️,Some
Horn Bow,5,Bow,⛔️,"Not really, no"
Longbow,5,Bow,⛔️,"Not really, no"
Pulley Bow,5,Bow,⛔️,"Not really, no"
Serpent Bow,5,Bow,⛔️,"Not really, no"
Bloodhound Claws,5,Claw,⛔️,"Not really, no"
Hookclaws,5,Claw,⛔️,"Not really, no"
Raptor Talons,5,Claw,⛔️,"Not really, no"
Venomous Fang,5,Claw,⛔️,"Not really, no"
Ancient Meteoric Ore Greatsword,3,Colossal Sword,✅,A little bit
Fire Knight's Greatsword,0,Colossal Sword,✅,Big time
Godslayer's Greatsword,0,Colossal Sword,⛔️,Big time
Grafted Blade Greatsword,0,Colossal Sword,⛔️,Big time
Greatsword,0,Colossal Sword,⛔️,Big time
Greatsword of Radahn (Light),5,Colossal Sword,✅,"Not really, no"
Greatsword of Radahn (Lord),5,Colossal Sword,✅,"Not really, no"
Maliketh's Black Blade,1,Colossal Sword,⛔️,A good bit
Moonrithyll's Knight Sword,5,Colossal Sword,✅,"Not really, no"
Royal Greatsword,2,Colossal Sword,⛔️,Some
Ruins Greatsword,0,Colossal Sword,⛔️,Big time
Starscourge Greatsword,5,Colossal Sword,⛔️,"Not really, no"
Troll Knight's Sword,3,Colossal Sword,⛔️,A little bit
Troll's Golden Sword,5,Colossal Sword,⛔️,"Not really, no"
Watchdog's Greatsword,3,Colossal Sword,⛔️,A little bit
Zweihander,5,Colossal Sword,⛔️,"Not really, no"
Anvil Hammer,5,Colossal Weapon,✅,"Not really, no"
Axe of Godfrey,5,Colossal Weapon,⛔️,"Not really, no"
Bloodfiend's Arm,5,Colossal Weapon,✅,"Not really, no"
Devonia's Hammer,5,Colossal Weapon,✅,"Not really, no"
Dragon Greatclaw,5,Colossal Weapon,⛔️,"Not really, no"
Duelist Greataxe,5,Colossal Weapon,⛔️,"Not really, no"
Envoy's Greathorn,5,Colossal Weapon,⛔️,"Not really, no"
Fallingstar Beast Jaw,5,Colossal Weapon,⛔️,"Not really, no"
Gazing Finger,5,Colossal Weapon,✅,"Not really, no"
Ghiza's Wheel,5,Colossal Weapon,⛔️,"Not really, no"
Giant-Crusher,0,Colossal Weapon,⛔️,Big time
Golem's Halberd,5,Colossal Weapon,⛔️,"Not really, no"
Great Club,0,Colossal Weapon,⛔️,Big time
Prelate's Inferno Crozier,5,Colossal Weapon,⛔️,"Not really, no"
Rotten Greataxe,5,Colossal Weapon,⛔️,"Not really, no"
Rotten Staff,5,Colossal Weapon,⛔️,"Not really, no"
Shadow Sunflower Blossom,5,Colossal Weapon,✅,"Not really, no"
Staff of the Avatar,2,Colossal Weapon,⛔️,Some
Troll's Hammer,5,Colossal Weapon,⛔️,"Not really, no"
Watchdog's Staff,5,Colossal Weapon,⛔️,"Not really, no"
Arbalest,5,Crossbow,⛔️,"Not really, no"
Crepus's Black-Key Crossbow,5,Crossbow,⛔️,"Not really, no"
Full Moon Crossbow,5,Crossbow,⛔️,"Not really, no"
Heavy Crossbow,5,Crossbow,⛔️,"Not really, no"
